timestamp,video_id,video_time_sec,local_score,nlp_score,is_highlight_auto,is_highlight_manual
2026-04-19T20:36:10.593227Z,j2L9F2l14UU,16.0,1.0,0.6,0,
2026-04-19T20:36:14.465018Z,j2L9F2l14UU,20.0,1.0,0.7,1,
2026-04-19T20:36:30.340201Z,j2L9F2l14UU,36.0,1.0,0.6,0,
2026-04-19T20:36:34.384665Z,j2L9F2l14UU,40.0,1.0,0.7,1,
2026-04-19T20:36:50.510238Z,j2L9F2l14UU,56.0,1.0,0.7,1,
2026-04-19T20:37:06.338073Z,j2L9F2l14UU,72.0,1.0,0.6,0,
2026-04-19T20:37:10.655521Z,j2L9F2l14UU,76.0,1.0,0.6,0,
2026-04-19T20:37:14.608843Z,j2L9F2l14UU,80.0,0.95,0.6,0,
2026-04-19T20:37:18.775456Z,j2L9F2l14UU,84.0,0.825,0.7,1,
2026-04-19T20:37:40.804868Z,j2L9F2l14UU,100.0,1.0,0.7,1,
2026-04-19T20:37:50.381041Z,j2L9F2l14UU,116.0,0.95,0.6,0,
2026-04-19T20:37:54.656007Z,j2L9F2l14UU,120.0,0.95,0.7,1,
2026-04-19T20:38:10.897415Z,j2L9F2l14UU,136.0,1.0,0.6,0,
2026-04-19T20:38:14.432365Z,j2L9F2l14UU,140.0,1.0,0.7,1,
2026-04-19T20:38:30.655834Z,j2L9F2l14UU,156.0,1.0,0.7,1,
2026-04-19T20:38:46.733608Z,j2L9F2l14UU,172.0,1.0,0.7,1,
2026-04-19T20:39:02.338963Z,j2L9F2l14UU,188.0,1.0,0.6,0,
2026-04-19T20:39:06.711319Z,j2L9F2l14UU,192.0,1.0,0.7,1,
2026-04-19T20:39:22.578125Z,j2L9F2l14UU,208.0,0.95,0.6,0,
2026-04-19T20:39:26.487506Z,j2L9F2l14UU,212.0,1.0,0.7,1,
2026-04-19T20:39:42.747681Z,j2L9F2l14UU,228.0,0.825,0.7,1,
2026-04-19T20:39:58.722898Z,j2L9F2l14UU,244.0,0.95,0.7,1,
2026-04-19T20:40:14.601694Z,j2L9F2l14UU,260.0,1.0,0.7,1,
2026-04-19T20:40:30.631449Z,j2L9F2l14UU,276.0,1.0,0.7,1,
2026-04-19T20:40:46.849948Z,j2L9F2l14UU,292.0,1.0,0.6,0,
2026-04-19T20:40:50.986469Z,j2L9F2l14UU,296.0,0.825,0.6,0,
2026-04-19T20:40:54.638834Z,j2L9F2l14UU,300.0,1.0,0.6,0,
2026-04-19T20:40:58.926670Z,j2L9F2l14UU,304.0,1.0,0.6,0,
2026-04-19T20:41:02.672186Z,j2L9F2l14UU,308.0,1.0,0.6,0,
2026-04-19T20:41:06.811258Z,j2L9F2l14UU,312.0,1.0,0.7,1,
2026-04-19T20:41:23.101731Z,j2L9F2l14UU,328.0,1.0,0.7,1,
2026-04-19T20:41:38.868207Z,j2L9F2l14UU,344.0,1.0,0.5,0,
2026-04-19T20:41:42.881526Z,j2L9F2l14UU,348.0,1.0,0.6,0,
2026-04-19T20:41:46.646765Z,j2L9F2l14UU,352.0,1.0,0.7,1,
2026-04-19T20:42:07.128788Z,j2L9F2l14UU,368.0,1.0,0.7,1,
2026-04-19T20:42:18.819291Z,j2L9F2l14UU,384.0,0.95,0.6,0,
2026-04-19T20:42:23.026785Z,j2L9F2l14UU,388.0,1.0,0.6,0,
2026-04-19T20:42:26.931864Z,j2L9F2l14UU,392.0,0.95,0.6,0,
2026-04-19T20:42:30.889528Z,j2L9F2l14UU,396.0,1.0,0.7,1,
2026-04-19T20:42:47.061297Z,j2L9F2l14UU,412.0,1.0,0.6,0,
2026-04-19T20:42:50.645391Z,j2L9F2l14UU,416.0,1.0,0.6,0,
2026-04-19T20:42:55.069813Z,j2L9F2l14UU,420.0,1.0,0.6,0,
2026-04-19T20:42:58.950384Z,j2L9F2l14UU,424.0,1.0,0.7,1,
2026-04-19T20:43:14.873369Z,j2L9F2l14UU,440.0,1.0,0.6,0,
2026-04-19T20:43:18.917779Z,j2L9F2l14UU,444.0,1.0,0.7,1,
2026-04-19T20:43:35.059145Z,j2L9F2l14UU,460.0,1.0,0.7,1,
2026-04-19T20:43:59.015152Z,j2L9F2l14UU,484.0,1.0,0.65,0,
2026-04-19T20:44:03.256444Z,j2L9F2l14UU,488.0,1.0,0.7,1,
2026-04-19T20:44:18.935063Z,j2L9F2l14UU,504.0,1.0,0.6,0,
2026-04-19T20:44:22.838929Z,j2L9F2l14UU,508.0,1.0,0.6,0,
2026-04-19T20:44:26.984274Z,j2L9F2l14UU,512.0,1.0,0.6,0,
2026-04-19T20:44:31.324106Z,j2L9F2l14UU,516.0,1.0,0.6,0,
2026-04-19T20:44:34.885664Z,j2L9F2l14UU,520.0,1.0,0.6,0,
2026-04-19T20:44:38.910258Z,j2L9F2l14UU,524.0,1.0,0.6,0,
2026-04-19T20:44:43.220081Z,j2L9F2l14UU,528.0,1.0,0.6,0,
2026-04-19T20:44:47.081057Z,j2L9F2l14UU,532.0,1.0,0.6,0,
2026-04-19T20:44:51.152336Z,j2L9F2l14UU,536.0,1.0,0.7,1,
2026-04-19T20:45:07.201838Z,j2L9F2l14UU,552.0,1.0,0.7,1,
2026-04-19T20:45:23.328073Z,j2L9F2l14UU,568.0,1.0,0.8,1,
2026-04-19T20:45:39.128514Z,j2L9F2l14UU,584.0,1.0,0.7,1,
2026-04-19T20:45:55.259444Z,j2L9F2l14UU,600.0,1.0,0.6,0,
2026-04-19T20:45:59.672975Z,j2L9F2l14UU,604.0,0.95,0.7,1,
2026-04-19T20:46:15.266773Z,j2L9F2l14UU,620.0,1.0,0.7,1,
2026-04-19T20:46:31.434092Z,j2L9F2l14UU,636.0,1.0,0.7,1,
2026-04-19T20:46:47.381680Z,j2L9F2l14UU,652.0,1.0,0.8,1,
2026-04-19T20:47:03.690862Z,j2L9F2l14UU,668.0,1.0,0.6,0,
2026-04-19T20:47:07.397544Z,j2L9F2l14UU,672.0,0.825,0.6,0,
2026-04-19T20:47:11.584359Z,j2L9F2l14UU,676.0,1.0,0.6,0,
2026-04-19T20:47:15.445465Z,j2L9F2l14UU,680.0,1.0,0.7,1,
2026-04-19T20:47:31.301021Z,j2L9F2l14UU,696.0,1.0,0.7,1,
2026-04-19T20:47:47.437531Z,j2L9F2l14UU,713.0,1.0,0.7,1,
2026-04-19T20:48:03.655314Z,j2L9F2l14UU,729.0,1.0,0.6,0,
2026-04-19T20:48:07.414098Z,j2L9F2l14UU,733.0,1.0,0.7,1,
2026-04-19T20:48:23.561248Z,j2L9F2l14UU,749.0,0.825,0.7,1,
2026-04-19T20:48:39.539985Z,j2L9F2l14UU,765.0,1.0,0.6,0,
2026-04-19T20:48:43.528857Z,j2L9F2l14UU,769.0,1.0,0.6,0,
2026-04-19T20:48:47.760801Z,j2L9F2l14UU,773.0,1.0,0.7,1,
2026-04-19T20:49:03.507442Z,j2L9F2l14UU,789.0,1.0,0.6,0,
2026-04-19T20:49:07.819911Z,j2L9F2l14UU,793.0,1.0,0.7,1,
2026-04-19T20:49:23.786663Z,j2L9F2l14UU,809.0,1.0,0.7,1,
2026-04-19T20:49:39.823886Z,j2L9F2l14UU,825.0,0.95,0.7,1,
2026-04-19T20:49:56.255893Z,j2L9F2l14UU,841.0,1.0,0.7,1,
2026-04-19T20:50:47.760419Z,j2L9F2l14UU,893.0,1.0,0.7,1,
2026-04-19T20:51:04.077323Z,j2L9F2l14UU,909.0,0.95,0.7,1,
2026-04-19T20:51:19.795985Z,j2L9F2l14UU,925.0,0.95,0.7,1,
2026-04-19T20:51:35.938550Z,j2L9F2l14UU,941.0,1.0,0.7,1,
2026-04-19T20:51:51.698137Z,j2L9F2l14UU,957.0,1.0,0.7,1,
2026-04-19T20:52:07.906544Z,j2L9F2l14UU,973.0,1.0,0.7,1,
2026-04-19T20:52:23.943597Z,j2L9F2l14UU,989.0,1.0,0.7,1,
2026-04-19T20:52:39.893878Z,j2L9F2l14UU,1005.0,0.95,0.7,1,
2026-04-19T20:52:56.162803Z,j2L9F2l14UU,1021.0,1.0,0.7,1,
2026-04-19T20:53:11.984120Z,j2L9F2l14UU,1037.0,0.95,0.7,1,
2026-04-19T20:53:28.015279Z,j2L9F2l14UU,1053.0,1.0,0.7,1,
2026-04-19T20:53:44.010359Z,j2L9F2l14UU,1069.0,1.0,0.7,1,
2026-04-19T20:54:03.949900Z,j2L9F2l14UU,1089.0,1.0,0.6,0,
2026-04-19T20:54:08.183783Z,j2L9F2l14UU,1093.0,1.0,0.65,0,
2026-04-19T20:54:12.029545Z,j2L9F2l14UU,1097.0,1.0,0.7,1,
2026-04-19T20:54:28.208208Z,j2L9F2l14UU,1113.0,1.0,0.7,1,
2026-04-19T20:54:44.370759Z,j2L9F2l14UU,1129.0,1.0,0.65,0,
2026-04-19T20:54:48.386388Z,j2L9F2l14UU,1133.0,1.0,0.7,1,
2026-04-19T20:55:08.261691Z,j2L9F2l14UU,1153.0,0.825,0.6,0,
2026-04-19T20:55:12.142449Z,j2L9F2l14UU,1157.0,1.0,0.7,1,
2026-04-19T20:55:28.229216Z,j2L9F2l14UU,1173.0,0.95,0.65,0,
2026-04-19T20:55:32.521266Z,j2L9F2l14UU,1177.0,1.0,0.65,0,
2026-04-19T20:55:36.212862Z,j2L9F2l14UU,1181.0,0.95,0.7,1,
2026-04-19T20:55:52.283436Z,j2L9F2l14UU,1197.0,1.0,0.7,1,
2026-04-19T20:56:08.076141Z,j2L9F2l14UU,1213.0,0.825,0.6,0,
2026-04-19T20:56:12.366173Z,j2L9F2l14UU,1217.0,0.95,0.65,0,
2026-04-19T20:56:16.114127Z,j2L9F2l14UU,1221.0,1.0,0.65,0,
2026-04-19T20:56:20.450159Z,j2L9F2l14UU,1225.0,1.0,0.6,0,
2026-04-19T20:56:24.344394Z,j2L9F2l14UU,1229.0,1.0,0.6,0,
2026-04-19T20:56:28.069035Z,j2L9F2l14UU,1233.0,1.0,0.6,0,
2026-04-19T20:56:32.231409Z,j2L9F2l14UU,1237.0,1.0,0.65,0,
2026-04-19T20:56:36.365486Z,j2L9F2l14UU,1241.0,1.0,0.7,1,
2026-04-19T20:56:52.195208Z,j2L9F2l14UU,1257.0,0.95,0.6,0,
2026-04-19T20:56:56.387349Z,j2L9F2l14UU,1261.0,0.95,0.6,0,
2026-04-19T20:57:00.593209Z,j2L9F2l14UU,1265.0,0.825,0.7,1,
2026-04-19T20:57:20.243888Z,j2L9F2l14UU,1285.0,0.825,0.7,1,
2026-04-19T20:57:36.328249Z,j2L9F2l14UU,1301.0,0.95,0.6,0,
2026-04-19T20:57:40.733945Z,j2L9F2l14UU,1305.0,0.825,0.7,1,
2026-04-19T20:57:56.814308Z,j2L9F2l14UU,1322.0,1.0,0.7,1,
2026-04-19T20:58:12.481706Z,j2L9F2l14UU,1338.0,0.95,0.7,1,
2026-04-19T20:58:28.642931Z,j2L9F2l14UU,1354.0,1.0,0.6,0,
2026-04-19T20:58:32.543243Z,j2L9F2l14UU,1358.0,1.0,0.6,0,
2026-04-19T20:58:44.418139Z,j2L9F2l14UU,1370.0,0.95,0.6,0,
2026-04-19T20:58:48.528886Z,j2L9F2l14UU,1374.0,1.0,0.7,1,
2026-04-19T20:59:04.608035Z,j2L9F2l14UU,1390.0,1.0,0.7,1,
2026-04-19T20:59:20.743542Z,j2L9F2l14UU,1406.0,1.0,0.6,0,
2026-04-19T20:59:24.750501Z,j2L9F2l14UU,1410.0,0.95,0.7,1,
2026-04-19T20:59:44.844834Z,j2L9F2l14UU,1430.0,0.95,0.7,1,
2026-04-19T21:00:00.581159Z,j2L9F2l14UU,1446.0,1.0,0.7,1,
2026-04-19T21:00:17.148491Z,j2L9F2l14UU,1462.0,1.0,0.6,0,
2026-04-19T21:00:20.774572Z,j2L9F2l14UU,1466.0,1.0,0.7,1,
